Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Date
1,5.1,3.5,1.4,0.2,Iris-setosa,9/6/23
2,4.9,3,1.4,0.2,Iris-setosa,9/7/23
3,4.7,3.2,1.3,0.2,Iris-setosa,9/8/23
4,4.6,3.1,1.5,0.2,Iris-setosa,9/9/23
5,5,3.6,1.4,0.2,Iris-setosa,9/10/23
6,5.4,3.9,1.7,0.4,Iris-setosa,9/11/23
7,4.6,3.4,1.4,0.3,Iris-setosa,9/12/23
8,5,3.4,1.5,0.2,Iris-setosa,9/13/23
9,4.4,2.9,1.4,0.2,Iris-setosa,9/14/23
10,4.9,3.1,1.5,0.1,Iris-setosa,9/15/23
11,5.4,3.7,1.5,0.2,Iris-setosa,9/16/23
12,4.8,3.4,1.6,0.2,Iris-setosa,9/17/23
13,4.8,3,1.4,0.1,Iris-setosa,9/18/23
14,4.3,3,1.1,0.1,Iris-setosa,9/19/23
15,5.8,4,1.2,0.2,Iris-setosa,9/20/23
16,5.7,4.4,1.5,0.4,Iris-setosa,9/21/23
17,5.4,3.9,1.3,0.4,Iris-setosa,9/22/23
18,5.1,3.5,1.4,0.3,Iris-setosa,9/23/23
19,5.7,3.8,1.7,0.3,Iris-setosa,9/24/23
20,5.1,3.8,1.5,0.3,Iris-setosa,9/25/23
21,5.4,3.4,1.7,0.2,Iris-setosa,9/26/23
22,5.1,3.7,1.5,0.4,Iris-setosa,9/27/23
23,4.6,3.6,1,0.2,Iris-setosa,9/28/23
24,5.1,3.3,1.7,0.5,Iris-setosa,9/29/23
25,4.8,3.4,1.9,0.2,Iris-setosa,9/30/23
26,5,3,1.6,0.2,Iris-setosa,10/1/23
27,5,3.4,1.6,0.4,Iris-setosa,10/2/23
28,5.2,3.5,1.5,0.2,Iris-setosa,10/3/23
29,5.2,3.4,1.4,0.2,Iris-setosa,10/4/23
30,4.7,3.2,1.6,0.2,Iris-setosa,10/5/23
31,4.8,3.1,1.6,0.2,Iris-setosa,10/6/23
32,5.4,3.4,1.5,0.4,Iris-setosa,10/7/23
33,5.2,4.1,1.5,0.1,Iris-setosa,10/8/23
34,5.5,4.2,1.4,0.2,Iris-setosa,10/9/23
35,4.9,3.1,1.5,0.1,Iris-setosa,10/10/23
36,5,3.2,1.2,0.2,Iris-setosa,10/11/23
37,5.5,3.5,1.3,0.2,Iris-setosa,10/12/23
38,4.9,3.1,1.5,0.1,Iris-setosa,10/13/23
39,4.4,3,1.3,0.2,Iris-setosa,10/14/23
40,5.1,3.4,1.5,0.2,Iris-setosa,10/15/23
41,5,3.5,1.3,0.3,Iris-setosa,10/16/23
42,4.5,2.3,1.3,0.3,Iris-setosa,10/17/23
43,4.4,3.2,1.3,0.2,Iris-setosa,10/18/23
44,5,3.5,1.6,0.6,Iris-setosa,10/19/23
45,5.1,3.8,1.9,0.4,Iris-setosa,10/20/23
46,4.8,3,1.4,0.3,Iris-setosa,10/21/23
47,5.1,3.8,1.6,0.2,Iris-setosa,10/22/23
48,4.6,3.2,1.4,0.2,Iris-setosa,10/23/23
49,5.3,3.7,1.5,0.2,Iris-setosa,10/24/23
50,5,3.3,1.4,0.2,Iris-setosa,10/25/23
51,7,3.2,4.7,1.4,Iris-versicolor,10/26/23
52,6.4,3.2,4.5,1.5,Iris-versicolor,10/27/23
53,6.9,3.1,4.9,1.5,Iris-versicolor,10/28/23
54,5.5,2.3,4,1.3,Iris-versicolor,10/29/23
55,6.5,2.8,4.6,1.5,Iris-versicolor,10/30/23
56,5.7,2.8,4.5,1.3,Iris-versicolor,10/31/23
57,6.3,3.3,4.7,1.6,Iris-versicolor,11/1/23
58,4.9,2.4,3.3,1,Iris-versicolor,11/2/23
59,6.6,2.9,4.6,1.3,Iris-versicolor,11/3/23
60,5.2,2.7,3.9,1.4,Iris-versicolor,11/4/23
61,5,2,3.5,1,Iris-versicolor,11/5/23
62,5.9,3,4.2,1.5,Iris-versicolor,11/6/23
63,6,2.2,4,1,Iris-versicolor,11/7/23
64,6.1,2.9,4.7,1.4,Iris-versicolor,11/8/23
65,5.6,2.9,3.6,1.3,Iris-versicolor,11/9/23
66,6.7,3.1,4.4,1.4,Iris-versicolor,11/10/23
67,5.6,3,4.5,1.5,Iris-versicolor,11/11/23
68,5.8,2.7,4.1,1,Iris-versicolor,11/12/23
69,6.2,2.2,4.5,1.5,Iris-versicolor,11/13/23
70,5.6,2.5,3.9,1.1,Iris-versicolor,11/14/23
71,5.9,3.2,4.8,1.8,Iris-versicolor,11/15/23
72,6.1,2.8,4,1.3,Iris-versicolor,11/16/23
73,6.3,2.5,4.9,1.5,Iris-versicolor,11/17/23
74,6.1,2.8,4.7,1.2,Iris-versicolor,11/18/23
75,6.4,2.9,4.3,1.3,Iris-versicolor,11/19/23
76,6.6,3,4.4,1.4,Iris-versicolor,11/20/23
77,6.8,2.8,4.8,1.4,Iris-versicolor,11/21/23
78,6.7,3,5,1.7,Iris-versicolor,11/22/23
79,6,2.9,4.5,1.5,Iris-versicolor,11/23/23
80,5.7,2.6,3.5,1,Iris-versicolor,11/24/23
81,5.5,2.4,3.8,1.1,Iris-versicolor,11/25/23
82,5.5,2.4,3.7,1,Iris-versicolor,11/26/23
83,5.8,2.7,3.9,1.2,Iris-versicolor,11/27/23
84,6,2.7,5.1,1.6,Iris-versicolor,11/28/23
85,5.4,3,4.5,1.5,Iris-versicolor,11/29/23
86,6,3.4,4.5,1.6,Iris-versicolor,11/30/23
87,6.7,3.1,4.7,1.5,Iris-versicolor,12/1/23
88,6.3,2.3,4.4,1.3,Iris-versicolor,12/2/23
89,5.6,3,4.1,1.3,Iris-versicolor,12/3/23
90,5.5,2.5,4,1.3,Iris-versicolor,12/4/23
91,5.5,2.6,4.4,1.2,Iris-versicolor,12/5/23
92,6.1,3,4.6,1.4,Iris-versicolor,12/6/23
93,5.8,2.6,4,1.2,Iris-versicolor,12/7/23
94,5,2.3,3.3,1,Iris-versicolor,12/8/23
95,5.6,2.7,4.2,1.3,Iris-versicolor,12/9/23
96,5.7,3,4.2,1.2,Iris-versicolor,12/10/23
97,5.7,2.9,4.2,1.3,Iris-versicolor,12/11/23
98,6.2,2.9,4.3,1.3,Iris-versicolor,12/12/23
99,5.1,2.5,3,1.1,Iris-versicolor,12/13/23
100,5.7,2.8,4.1,1.3,Iris-versicolor,12/14/23
101,6.3,3.3,6,2.5,Iris-virginica,12/15/23
102,5.8,2.7,5.1,1.9,Iris-virginica,12/16/23
103,7.1,3,5.9,2.1,Iris-virginica,12/17/23
104,6.3,2.9,5.6,1.8,Iris-virginica,12/18/23
105,6.5,3,5.8,2.2,Iris-virginica,12/19/23
106,7.6,3,6.6,2.1,Iris-virginica,12/20/23
107,4.9,2.5,4.5,1.7,Iris-virginica,12/21/23
108,7.3,2.9,6.3,1.8,Iris-virginica,12/22/23
109,6.7,2.5,5.8,1.8,Iris-virginica,12/23/23
110,7.2,3.6,6.1,2.5,Iris-virginica,12/24/23
111,6.5,3.2,5.1,2,Iris-virginica,12/25/23
112,6.4,2.7,5.3,1.9,Iris-virginica,12/26/23
113,6.8,3,5.5,2.1,Iris-virginica,12/27/23
114,5.7,2.5,5,2,Iris-virginica,12/28/23
115,5.8,2.8,5.1,2.4,Iris-virginica,12/29/23
116,6.4,3.2,5.3,2.3,Iris-virginica,12/30/23
117,6.5,3,5.5,1.8,Iris-virginica,12/31/23
118,7.7,3.8,6.7,2.2,Iris-virginica,1/1/24
119,7.7,2.6,6.9,2.3,Iris-virginica,1/2/24
120,6,2.2,5,1.5,Iris-virginica,1/3/24
121,6.9,3.2,5.7,2.3,Iris-virginica,1/4/24
122,5.6,2.8,4.9,2,Iris-virginica,1/5/24
123,7.7,2.8,6.7,2,Iris-virginica,1/6/24
124,6.3,2.7,4.9,1.8,Iris-virginica,1/7/24
125,6.7,3.3,5.7,2.1,Iris-virginica,1/8/24
126,7.2,3.2,6,1.8,Iris-virginica,1/9/24
127,6.2,2.8,4.8,1.8,Iris-virginica,1/10/24
128,6.1,3,4.9,1.8,Iris-virginica,1/11/24
129,6.4,2.8,5.6,2.1,Iris-virginica,1/12/24
130,7.2,3,5.8,1.6,Iris-virginica,1/13/24
131,7.4,2.8,6.1,1.9,Iris-virginica,1/14/24
132,7.9,3.8,6.4,2,Iris-virginica,1/15/24
133,6.4,2.8,5.6,2.2,Iris-virginica,1/16/24
134,6.3,2.8,5.1,1.5,Iris-virginica,1/17/24
135,6.1,2.6,5.6,1.4,Iris-virginica,1/18/24
136,7.7,3,6.1,2.3,Iris-virginica,1/19/24
137,6.3,3.4,5.6,2.4,Iris-virginica,1/20/24
138,6.4,3.1,5.5,1.8,Iris-virginica,1/21/24
139,6,3,4.8,1.8,Iris-virginica,1/22/24
140,6.9,3.1,5.4,2.1,Iris-virginica,1/23/24
141,6.7,3.1,5.6,2.4,Iris-virginica,1/24/24
142,6.9,3.1,5.1,2.3,Iris-virginica,1/25/24
143,5.8,2.7,5.1,1.9,Iris-virginica,1/26/24
144,6.8,3.2,5.9,2.3,Iris-virginica,1/27/24
145,6.7,3.3,5.7,2.5,Iris-virginica,1/28/24
146,6.7,3,5.2,2.3,Iris-virginica,1/29/24
147,6.3,2.5,5,1.9,Iris-virginica,1/30/24
148,6.5,3,5.2,2,Iris-virginica,1/31/24
149,6.2,3.4,5.4,2.3,Iris-virginica,2/1/24
150,5.9,3,5.1,1.8,Iris-virginica,2/2/24